model,norm,seed,prop,auc
compare,l2,1,0.1,0.971944444444444
rank,l2,1,0.1,0.972361111111111
rank2,l2,1,0.1,0.957708333333333
truth,l2,1,0.1,0.975902777777778
compare,l1,1,0.1,0.951319444444444
rank,l1,1,0.1,0.927916666666667
rank2,l1,1,0.1,0.935277777777778
truth,l1,1,0.1,0.982083333333333
compare,linf,1,0.1,0.972361111111111
rank,linf,1,0.1,0.961597222222222
rank2,linf,1,0.1,0.971736111111111
truth,linf,1,0.1,0.984652777777778
compare,l2,2,0.1,0.994722222222222
rank,l2,2,0.1,0.990347222222222
rank2,l2,2,0.1,0.987708333333333
truth,l2,2,0.1,0.992916666666667
compare,l1,2,0.1,0.940069444444444
rank,l1,2,0.1,0.915
rank2,l1,2,0.1,0.933125
truth,l1,2,0.1,0.972430555555556
compare,linf,2,0.1,0.968194444444444
rank,linf,2,0.1,0.970486111111111
rank2,linf,2,0.1,0.969930555555556
truth,linf,2,0.1,0.984027777777778
compare,l2,3,0.1,0.975625
rank,l2,3,0.1,0.955902777777778
rank2,l2,3,0.1,0.974375
truth,l2,3,0.1,0.977777777777778
compare,l1,3,0.1,0.972152777777778
rank,l1,3,0.1,0.967569444444444
rank2,l1,3,0.1,0.957013888888889
truth,l1,3,0.1,0.989097222222222
compare,linf,3,0.1,0.957708333333333
rank,linf,3,0.1,0.926458333333333
rank2,linf,3,0.1,0.931527777777778
truth,linf,3,0.1,0.979583333333333
compare,l2,4,0.1,0.977569444444444
rank,l2,4,0.1,0.968958333333333
rank2,l2,4,0.1,0.971111111111111
truth,l2,4,0.1,0.99125
compare,l1,4,0.1,0.971597222222222
rank,l1,4,0.1,0.946736111111111
rank2,l1,4,0.1,0.963194444444444
truth,l1,4,0.1,0.982638888888889
compare,linf,4,0.1,0.972569444444444
rank,linf,4,0.1,0.960763888888889
rank2,linf,4,0.1,0.965625
truth,linf,4,0.1,0.984375
compare,l2,1,0.2,0.9827734375
rank,l2,1,0.2,0.9618359375
rank2,l2,1,0.2,0.97890625
truth,l2,1,0.2,0.9825
compare,l1,1,0.2,0.9526953125
rank,l1,1,0.2,0.905078125
rank2,l1,1,0.2,0.958359375
truth,l1,1,0.2,0.9843359375
compare,linf,1,0.2,0.9596875
rank,linf,1,0.2,0.95265625
rank2,linf,1,0.2,0.9666015625
truth,linf,1,0.2,0.9860546875
compare,l2,2,0.2,0.9783203125
rank,l2,2,0.2,0.9740625
rank2,l2,2,0.2,0.9619140625
truth,l2,2,0.2,0.983515625
compare,l1,2,0.2,0.950703125
rank,l1,2,0.2,0.9426171875
rank2,l1,2,0.2,0.9376953125
truth,l1,2,0.2,0.990234375
compare,linf,2,0.2,0.9469921875
rank,linf,2,0.2,0.9432421875
rank2,linf,2,0.2,0.9501171875
truth,linf,2,0.2,0.985625
compare,l2,3,0.2,0.98296875
rank,l2,3,0.2,0.981640625
rank2,l2,3,0.2,0.9838671875
truth,l2,3,0.2,0.9815625
compare,l1,3,0.2,0.9624609375
rank,l1,3,0.2,0.95921875
rank2,l1,3,0.2,0.960859375
truth,l1,3,0.2,0.98921875
compare,linf,3,0.2,0.953125
rank,linf,3,0.2,0.9380078125
rank2,linf,3,0.2,0.960859375
truth,linf,3,0.2,0.983125
compare,l2,4,0.2,0.96984375
rank,l2,4,0.2,0.9812109375
rank2,l2,4,0.2,0.9515625
truth,l2,4,0.2,0.982578125
compare,l1,4,0.2,0.9690234375
rank,l1,4,0.2,0.926015625
rank2,l1,4,0.2,0.96703125
truth,l1,4,0.2,0.9844921875
compare,linf,4,0.2,0.94890625
rank,linf,4,0.2,0.9292578125
rank2,linf,4,0.2,0.9319921875
truth,linf,4,0.2,0.9762109375
compare,l2,1,0.3,0.980476190476191
rank,l2,1,0.3,0.976309523809524
rank2,l2,1,0.3,0.979702380952381
truth,l2,1,0.3,0.983095238095238
compare,l1,1,0.3,0.95327380952381
rank,l1,1,0.3,0.907857142857143
rank2,l1,1,0.3,0.959702380952381
truth,l1,1,0.3,0.98125
compare,linf,1,0.3,0.9725
rank,linf,1,0.3,0.938839285714286
rank2,linf,1,0.3,0.950029761904762
truth,linf,1,0.3,0.987767857142857
compare,l2,2,0.3,0.979732142857143
rank,l2,2,0.3,0.979315476190476
rank2,l2,2,0.3,0.978333333333333
truth,l2,2,0.3,0.981755952380952
compare,l1,2,0.3,0.944047619047619
rank,l1,2,0.3,0.909077380952381
rank2,l1,2,0.3,0.946815476190476
truth,l1,2,0.3,0.98375
compare,linf,2,0.3,0.9575
rank,linf,2,0.3,0.940178571428571
rank2,linf,2,0.3,0.95139880952381
truth,linf,2,0.3,0.978809523809524
compare,l2,3,0.3,0.970089285714286
